City,2010 Census Population
Afton,1911
Albin,181
Alpine,828
Baggs,440
Bairoil,106
BarNunn,2213
Basin,128444
BearRiver,18
BigPiney,2
Buffalo,48
Burlington,288
Burns,301
Byron,93
Casper,3316
Cheyenne,9466
Chugwater,212
Clearmont,142
Cody,920
Cokeville,3
Cowley,6
Dayton,77
Deaver,178
Diamondville,737
Dixon,97
Douglas,6120
Dubois,971
EastThermopolis,24
Edgerton,19
ElkMountain,191
Evanston,1239
Evansville,244
FortLaramie,230
Frannie,17
Gillette,29087
Glendo,20
Glenrock,276
GrandEncampment,40
Granger,139
GreenRiver,121
Greybull,1847
Guernsey,1147
Hanna,841
Hartville,62
Hudson,48
Hulett,383
Jackson,977
Kaycee,263
Kemmerer,266
Kirby,92
LaBarge,1
LaGrange,448
Lander,7487
Laramie,30816
Lingle,468
LostSprings,4
Lovell,2360
Lusk,167
Lyman,211
Manderson,114
Manville,9
Marbleton,1094
MedicineBow,284
Meeteetse,327
Midwest,404
Mills,3461
Moorcroft,1009
MountainView,1286
Newcastle,332
Opal,96
Pavillion,231
PineBluffs,1129
PineHaven,490
Pinedale,2030
Powell,6314
Ranchester,8
Rawlins,929
Riverside,2
Riverton,1061
RockRiver,24
RockSprings,23036
RollingHills,440
Saratoga,1690
Sheridan,17444
Shoshoni,649
Sinclair,433
StarValleyRanch,103
Sundance,1182
Superior,336
TenSleep,260
Thayne,366
Thermopolis,3009
Torrington,601
Upton,1100
VanTassell,1
Wamsutter,41
Wheatland,3627
Worland,487
Wright,1807
Yoder,11
